dataset,method_name,payload_name,scenario,patch,sample_count,repeat_count,expected_operating_cost_best,expected_operating_cost_median,expected_operating_cost_mean,expected_operating_cost_std,risk_adjusted_cost_best,risk_adjusted_cost_median,risk_adjusted_cost_mean,risk_adjusted_cost_std,runtime_seconds_median,runtime_seconds_mean,runtime_seconds_std,feasibility_rate,feasibility_after_repair_rate,critical_load_served_fraction_best,critical_load_served_fraction_median,critical_energy_not_served_best,energy_not_served_kwh_best,total_energy_not_served_best,max_fraction_customers_unserved_per_hour_best,total_critical_infrastructure_unserved_hours_proxy_best,pre_repair_violation_rate,post_repair_violation_rate,pre_repair_violation_median,post_repair_violation_median,decoded_objective_best,runtime_seconds_total,time_to_good_solution
qci_small_synthetic,DifferentialEvolutionOptimizer,local_generator_failure_MG1-MG2-MG3.json,local_generator_failure,MG1-MG2-MG3,2,2,5317.642117610237,6020.72076905185,6020.72076905185,703.0786514416127,5728.913184508479,6387.884605029982,6387.884605029982,658.9714205215018,0.03801556245889515,0.03801556245889515,3.914546687155962e-05,1.0,1.0,0.7614102439036273,0.7288353536133463,1292.226420232084,3895.357159781977,3895.357159781977,0.3699534607390912,4.0,0.0,0.0,0.0,0.0,20010756.632824868,0.0760311249177903,0.03797641699202359
qci_small_synthetic,DifferentialEvolutionOptimizer,normal_MG1-MG2-MG3.json,normal,MG1-MG2-MG3,2,2,8224.689749168518,8354.510849127337,8354.510849127337,129.8210999588191,8565.51817088757,8692.47956458482,8692.47956458482,126.96139369725188,0.04018487443681806,0.04018487443681806,0.0012559584574773908,1.0,1.0,0.7426094420028737,0.7404129585596539,1340.4360367836725,3822.1313875149167,3822.1313875149167,0.3775189548116768,4.0,0.0,0.0,0.0,0.0,19741336.72228177,0.08036974887363613,0.03892891597934067
qci_small_synthetic,DifferentialEvolutionOptimizer,pcc_failure_MG1-MG2-MG3.json,pcc_failure,MG1-MG2-MG3,2,2,9541.575387064513,9933.997639366544,9933.997639366544,392.42225230203076,9867.248811524563,10280.878788401533,10280.878788401533,413.62997687697043,0.036592896038200706,0.036592896038200706,0.000221354013774544,1.0,1.0,0.7617683112166911,0.746254757879891,1302.6936978401995,3866.449042313134,3866.449042313134,0.36371075350278076,4.0,0.0,0.0,0.0,0.0,16272135.966826664,0.07318579207640141,0.03637154202442616
qci_small_synthetic,DifferentialEvolutionOptimizer,renewable_shortfall_MG1-MG2-MG3.json,renewable_shortfall,MG1-MG2-MG3,2,2,7999.651995807126,8979.624572328186,8979.624572328186,979.9725765210615,8231.71220006276,9289.942396111608,9289.942396111608,1058.2301960488467,0.04518004151759669,0.04518004151759669,0.005671000515576452,1.0,1.0,0.8252540954827847,0.7663245665977606,928.2408170225355,3696.1000341086137,3696.1000341086137,0.35791235879900646,4.0,0.0,0.0,0.0,0.0,16872448.585056495,0.09036008303519338,0.03950904100202024
qci_small_synthetic,DifferentialEvolutionOptimizer,restoration_MG1-MG2-MG3.json,restoration,MG1-MG2-MG3,2,2,5719.250135632453,7180.4388807281375,7180.4388807281375,1461.1887450956842,6055.186946936374,7543.648534807535,7543.648534807535,1488.461587871161,0.034415750473272055,0.034415750473272055,0.00016158347716555,1.0,1.0,0.73896971935012,0.7177781215131023,1343.7472452156833,3344.9400267399187,3344.9400267399187,0.33427535851039597,4.0,0.0,0.0,0.0,0.0,18626385.84169397,0.06883150094654411,0.034254166996106505
qci_small_synthetic,DifferentialEvolutionOptimizer,storm_forced_islanding_MG1-MG2-MG3.json,storm_forced_islanding,MG1-MG2-MG3,2,2,13169.101121651394,15475.122747585354,15475.122747585354,2306.0216259339595,13684.678689015323,15899.346683937703,15899.346683937703,2214.66799492238,0.032258541497867554,0.032258541497867554,5.8708537835627794e-05,1.0,1.0,0.7833296151371032,0.7238661362015497,1331.4812213630742,4462.942372188759,4462.942372188759,0.3735703692281403,4.0,0.0,0.0,0.0,0.0,21818679.78941493,0.06451708299573511,0.03219983296003193
qci_small_synthetic,GPU-parallel random restart baseline,combined_high_stress_MG1-MG2-MG3.json,combined_high_stress,MG1-MG2-MG3,2,2,16915.457694558812,16915.457694558812,16915.457694558812,0.0,17221.161177936185,17221.161177936185,17221.161177936185,0.0,2.118396353966091,2.118396353966091,0.0006209379644133151,1.0,1.0,0.8197331302785233,0.8197331302785233,1222.8139335094938,5955.712336523494,5955.712336523494,0.4516550206357461,4.0,0.0,0.0,0.0,0.0,10662583.98571487,4.236792707932182,2.1177754160016775
qci_small_synthetic,GPU-parallel random restart baseline,demand_surge_MG1-MG2-MG3.json,demand_surge,MG1-MG2-MG3,2,2,22739.677040168644,22739.677040168644,22739.677040168644,0.0,22739.677040168644,22739.677040168644,22739.677040168644,0.0,2.677909499965608,2.677909499965608,0.18535308400169015,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22725.277040168363,5.355818999931216,2.492556415963918
qci_small_synthetic,GPU-parallel random restart baseline,local_generator_failure_MG1-MG2-MG3.json,local_generator_failure,MG1-MG2-MG3,2,2,15242.71417926372,15242.71417926372,15242.71417926372,0.0,15242.71417926372,15242.71417926372,15242.71417926372,0.0,2.4482302500400692,2.4482302500400692,0.0011052079498767853,1.0,1.0,1.0,1.0,0.0,46.66362000000004,46.66362000000004,0.004431780450802132,0.0,0.0,0.0,0.0,0.0,21494.990493536065,4.8964605000801384,2.4471250420901924
qci_small_synthetic,GPU-parallel random restart baseline,normal_MG1-MG2-MG3.json,normal,MG1-MG2-MG3,2,2,21634.895912795357,21634.895912795357,21634.895912795357,0.0,21634.895912795357,21634.895912795357,21634.895912795357,0.0,2.9818307295208797,2.9818307295208797,0.4822743955301121,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21620.495912795774,5.963661459041759,2.4995563339907676
