benchmark,consensus_replicate,converged,convergence_tolerance,dual_residual,final_status,iteration,iteration_count,maximum_iterations,method,primal_residual,raw_conflict_count,rho,unresolved_conflict_count
pglib_case14_ieee,qci_sample_020,False,1e-06,3.823173435503674e-17,completed,14,30,200,QCi SC-CMPO,0.044630094510208156,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,7.047036810144046e-17,completed,15,30,200,QCi SC-CMPO,0.0223150472550125,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,6.814820867828602e-17,completed,16,30,200,QCi SC-CMPO,0.011157523627429396,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,5.971904752300045e-17,completed,17,30,200,QCi SC-CMPO,0.005578761813882395,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,1.3642420533809643e-12,completed,18,30,200,QCi SC-CMPO,0.0027893809064653287,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,7.36385613992273e-17,completed,19,30,200,QCi SC-CMPO,0.0013946904534705988,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,6.925353576667012e-17,completed,20,30,200,QCi SC-CMPO,0.0006973452266402989,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,6.934343845169616e-17,completed,21,30,200,QCi SC-CMPO,0.0003486726133676497,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,2.728484106645136e-12,completed,22,30,200,QCi SC-CMPO,0.00017433630668382483,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,3.050537967975699e-12,completed,23,30,200,QCi SC-CMPO,8.716815334191243e-05,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,1.3642420552986672e-12,completed,24,30,200,QCi SC-CMPO,4.358407667095621e-05,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,6.858630722073556e-17,completed,25,30,200,QCi SC-CMPO,2.179203833547813e-05,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,5.745156518857784e-17,completed,26,30,200,QCi SC-CMPO,1.0896019167739065e-05,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,6.361551050092603e-17,completed,27,30,200,QCi SC-CMPO,5.448009583870096e-06,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,2.7284841061586206e-12,completed,28,30,200,QCi SC-CMPO,2.7240047919351784e-06,390,1.0,0
pglib_case14_ieee,qci_sample_020,False,1e-06,2.7284841062457848e-12,completed,29,30,200,QCi SC-CMPO,1.36200292727218e-06,390,1.0,0
pglib_case14_ieee,qci_sample_020,True,1e-06,1.3642420541748864e-12,completed,30,30,200,QCi SC-CMPO,6.810008306563194e-07,390,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,9.614813431917819e-17,completed,1,30,200,QCi SC-CMPO,294.36414431436964,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,2.7284842302429067e-12,completed,2,30,200,QCi SC-CMPO,147.1820721571849,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,2.728484466728308e-12,completed,3,30,200,QCi SC-CMPO,73.59103607859248,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.1581406804202094e-15,completed,4,30,200,QCi SC-CMPO,36.7955180392965,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.458100867475696e-15,completed,5,30,200,QCi SC-CMPO,18.397759019648188,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.5663313850862754e-15,completed,6,30,200,QCi SC-CMPO,9.19887950982406,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.5005989774012097e-15,completed,7,30,200,QCi SC-CMPO,4.599439754911255,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.4274234076350573e-15,completed,8,30,200,QCi SC-CMPO,2.2997198774562375,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.789938758445491e-15,completed,9,30,200,QCi SC-CMPO,1.1498599387279183,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.5419964686537e-15,completed,10,30,200,QCi SC-CMPO,0.5749299693646764,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.7385079838687824e-15,completed,11,30,200,QCi SC-CMPO,0.2874649846819958,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.5290148329861504e-15,completed,12,30,200,QCi SC-CMPO,0.14373249234084276,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.6768594809361232e-15,completed,13,30,200,QCi SC-CMPO,0.07186624617022538,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.7641856303627413e-15,completed,14,30,200,QCi SC-CMPO,0.035933123085287705,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.707574240715075e-15,completed,15,30,200,QCi SC-CMPO,0.017966561542418245,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.4785381062472965e-15,completed,16,30,200,QCi SC-CMPO,0.008983280771176466,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.7444936805914463e-15,completed,17,30,200,QCi SC-CMPO,0.00449164038591621,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.6998590658677499e-15,completed,18,30,200,QCi SC-CMPO,0.00224582019287266,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.5600633547142085e-15,completed,19,30,200,QCi SC-CMPO,0.0011229100961221508,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.6310533959471403e-15,completed,20,30,200,QCi SC-CMPO,0.0005614550482181659,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.4314317545148913e-15,completed,21,30,200,QCi SC-CMPO,0.00028072752410908413,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.5986434524162205e-15,completed,22,30,200,QCi SC-CMPO,0.00014036376205454226,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.3642431491254555e-12,completed,23,30,200,QCi SC-CMPO,7.018188102727038e-05,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.3642429416025345e-12,completed,24,30,200,QCi SC-CMPO,3.5090940513636025e-05,441,1.0,0
pglib_case14_ieee,qci_sample_021,False,1e-06,1.5455519758401813e-15,completed,25,30,200,QCi SC-CMPO,1.7545470256815004e-05,441,1.0,0
