method_name,scenario,patch,raw_energy,repaired_energy,expected_cost_component,critical_load_served_fraction,noncritical_load_served_fraction,energy_not_served_kwh,critical_energy_not_served_kwh,feasibility_pass,runtime_seconds,repeats,notes,scenario_probability,scenario_total_load_kwh,max_fraction_customers_unserved_per_hour,total_hours_critical_infrastructure_unserved,total_upgrade_cost
DifferentialEvolutionOptimizer,normal,MG1-MG2-MG4,20657148.02533634,19240117.956768263,7357.1293839263935,0.7506667756335145,0.4653110549414784,4292.204247505555,1497.729000571664,True,0.24998954171314836,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0.375,15398.061999999998,0.2787496405395403,6,0.0
CMPO-local polynomial search,normal,MG1-MG2-MG4,18888.748734035365,18888.748734035365,18910.046706753055,1.0,1.0,0.0,0.0,False,1.719510625116527,5,"Pre-QCi polynomial search proxy; best energy from 5 repeats, median_energy=19321816.101358.",0.375,15398.061999999998,0.0,0,0.0
GreedyCriticalLoadFirst,renewable_shortfall,MG1-MG2-MG4,20044.527332342997,20044.527332342997,20066.127332342752,1.0,1.0,0.0,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0.125,15706.02324,0.0,0,0.0
SLSQPDispatchOptimizer,renewable_shortfall,MG1-MG2-MG4,3856.721554596741,2152150.4854890504,3557.0580379538237,0.9999970825679904,0.9999997660720743,0.019122369885717607,0.01787532724523265,False,1.0642374157905579,1,SLSQP reported failure gracefully: Iteration limit reached,0.125,15706.02324,1.2175182472044786e-06,6,0.0
DifferentialEvolutionOptimizer,renewable_shortfall,MG1-MG2-MG4,22855043.446672976,21614178.724548705,10223.531193955621,0.7147256606658334,0.6110445135130724,3821.3741052203513,1747.8975185509894,True,0.25128870783373713,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0.125,15706.02324,0.24330628108890734,6,0.0
CMPO-local polynomial search,renewable_shortfall,MG1-MG2-MG4,20044.050479543814,20044.050479543814,20065.3484522618,1.0,1.0,0.0,0.0,False,1.7111493749544024,5,"Pre-QCi polynomial search proxy; best energy from 5 repeats, median_energy=18271291.741221.",0.125,15706.02324,0.0,0,0.0
GreedyCriticalLoadFirst,demand_surge,MG1-MG2-MG4,20166.585467343462,20166.585467343462,20188.185467342762,1.0,1.0,0.0,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0.125,18813.009719999995,0.0,0,0.0
SLSQPDispatchOptimizer,demand_surge,MG1-MG2-MG4,20115.023260350114,20115.28011828998,20084.39266751727,1.0,1.0,0.0,0.0,False,0.1770396251231432,1,SLSQP completed.,0.125,18813.009719999995,0.0,0,0.0
DifferentialEvolutionOptimizer,demand_surge,MG1-MG2-MG4,19208586.149373274,20213683.454772513,7189.987507148093,0.8062472786298589,0.5940915278478138,4013.4330227586797,1421.8620666409242,True,0.25268854200839996,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0.125,18813.009719999995,0.21333285223852427,6,0.0
CMPO-local polynomial search,demand_surge,MG1-MG2-MG4,20166.108614544162,20166.108614544162,20187.40658726181,1.0,1.0,0.0,0.0,False,1.7412443752400577,5,"Pre-QCi polynomial search proxy; best energy from 5 repeats, median_energy=18340024.922874.",0.125,18813.009719999995,0.0,0,0.0
GreedyCriticalLoadFirst,pcc_failure,MG1-MG2-MG4,308824.5892110255,308824.5892110255,19785.585219594825,1.0,0.9247506930135145,412.94371998775915,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0.0625,16167.9651,0.025540859188752155,0,0.0
SLSQPDispatchOptimizer,pcc_failure,MG1-MG2-MG4,63385.571372480765,242181.67042038208,19344.279609783884,0.9999938981500729,0.9995299920546857,2.617736822093511,0.03848610026620131,False,1.2744478331878781,1,SLSQP reported failure gracefully: Iteration limit reached,0.0625,16167.9651,0.00016190886149881106,6,0.0
DifferentialEvolutionOptimizer,pcc_failure,MG1-MG2-MG4,443644603.0186419,30530006.12913391,6889.207037320736,0.59094934780161,0.5772452784836939,4899.939023707141,2579.9986237685025,True,0.2554252501577139,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0.0625,16167.9651,0.3030646709960514,6,0.0
CMPO-local polynomial search,pcc_failure,MG1-MG2-MG4,214898.39844861045,224154.12585007562,19784.806339513874,1.0,0.9564764029806706,238.84334328338542,0.0,True,1.750263666268438,5,"Pre-QCi polynomial search proxy; best energy from 5 repeats, median_energy=1754711273.989770.",0.0625,16167.9651,0.014772628577939312,0,0.0
GreedyCriticalLoadFirst,local_generator_failure,MG1-MG2-MG4,89415.4613409613,18112809.16861602,18094.81421599685,1.0,0.981239255489865,101.97236000000021,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,0.0625,16013.984479999996,0.006367706933109269,0,0.0
SLSQPDispatchOptimizer,local_generator_failure,MG1-MG2-MG4,18112809.16861602,18112809.16861602,18094.81421599685,1.0,0.981239255489865,101.97236000000021,0.0,True,0.07643170794472098,1,SLSQP completed.,0.0625,16013.984479999996,0.006367706933109269,0,0.0
DifferentialEvolutionOptimizer,local_generator_failure,MG1-MG2-MG4,83208638.39725047,81894645.46569823,9175.602480865342,0.6559800475884389,0.551728497519001,4585.706396245803,2149.166470869215,True,0.2544519999064505,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0.0625,16013.984479999996,0.28635636571104034,6,0.0
CMPO-local polynomial search,local_generator_failure,MG1-MG2-MG4,36429.163993956885,18025911.344848268,18094.035335915894,1.0,1.0,0.0,0.0,False,1.7224604589864612,5,"Pre-QCi polynomial search proxy; best energy from 5 repeats, median_energy=208801317.162317.",0.0625,16013.984479999996,0.0,0,0.0
GreedyCriticalLoadFirst,storm_forced_islanding,MG1-MG2-MG4,3056212.2389672315,3006231.726482049,19682.014630412712,0.9915480586878149,0.44921640932601126,3456.6470287668863,59.90893040000003,True,0.0,1,Deterministic critical-load-first heuristic.,0.0625,18169.713159999996,0.19024224534136164,6,0.0
SLSQPDispatchOptimizer,storm_forced_islanding,MG1-MG2-MG4,1104774.218055808,2709376.3821669742,19682.01817799202,0.9999903132093724,0.901760641400601,605.9207201189973,0.06866177178406566,True,1.3500152081251144,1,SLSQP reported failure gracefully: Iteration limit reached,0.0625,18169.713159999996,0.03334784180594062,6,0.0
DifferentialEvolutionOptimizer,storm_forced_islanding,MG1-MG2-MG4,1924360790.5373747,31612334.787715167,6251.321132489713,0.6355350363940224,0.6950882135856578,4463.817199186647,2583.395379997517,True,0.2570040412247181,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0.0625,18169.713159999996,0.24567350953088177,6,0.0
CMPO-local polynomial search,storm_forced_islanding,MG1-MG2-MG4,1962443.1575245904,2050168.291096395,19682.014630412712,1.0,0.6152050420511908,2373.0694157478115,0.0,True,1.7499754996970296,5,"Pre-QCi polynomial search proxy; best energy from 5 repeats, median_energy=2637277694.869304.",0.0625,18169.713159999996,0.13060577208076365,0,0.0
GreedyCriticalLoadFirst,restoration,MG1-MG2-MG4,369778.5447230821,355386.9227661512,19736.06308569051,0.9991857416524306,0.9210997821492399,412.108496419129,4.831368839999982,True,0.0,1,Deterministic critical-load-first heuristic.,0.125,15212.258301999998,0.027090553436431453,6,0.0
SLSQPDispatchOptimizer,restoration,MG1-MG2-MG4,56806.40472910567,227246.75899341138,18050.203068093557,0.9999904170301712,0.9996479479366557,1.8741270473063998,0.056860162335336265,False,1.3117488748393953,1,SLSQP reported failure gracefully: Iteration limit reached,0.125,15212.258301999998,0.00012319847652468555,6,0.0
DifferentialEvolutionOptimizer,restoration,MG1-MG2-MG4,1192649900.689381,39647150.05556113,8333.068983768639,0.4286168655015842,0.5832977222574327,5541.265167596402,3390.27862589019,True,0.25854829186573625,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0.125,15212.258301999998,0.364263152622637,6,0.0
CMPO-local polynomial search,restoration,MG1-MG2-MG4,254149.90201674376,260949.8692548179,19735.284205609558,1.0,0.9452463099244295,282.63452530025404,0.0,True,1.7575973332859576,5,"Pre-QCi polynomial search proxy; best energy from 5 repeats, median_energy=1686487833.434826.",0.125,15212.258301999998,0.018579392992761325,0,0.0
GreedyCriticalLoadFirst,combined_high_stress,MG1-MG2-MG4,28098974.119141076,58279614.326534666,10128.503730605227,0.71164296313926,0.4184141235171118,6212.626891619837,2255.272142419836,True,0.0,1,Deterministic critical-load-first heuristic.,0.0625,20050.329495999995,0.30985161081064755,6,0.0
SLSQPDispatchOptimizer,combined_high_stress,MG1-MG2-MG4,58252168.27993343,58235320.4840726,10128.020431316454,0.7122391195482992,0.419191580883042,6202.674139999375,2250.609537489267,True,0.13848391687497497,1,SLSQP completed.,0.0625,20050.329495999995,0.3093552223786047,6,0.0
DifferentialEvolutionOptimizer,combined_high_stress,MG1-MG2-MG4,2071880835.386601,1017017440.237902,6890.525237623866,0.6632074914625536,0.6454743614550009,5046.432755538795,2634.091300664257,True,0.2595803327858448,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0.0625,20050.329495999995,0.2516882705865532,6,0.0
CMPO-local polynomial search,combined_high_stress,MG1-MG2-MG4,18833031.90812378,51052312.020173535,10128.503730605227,0.816493563880086,0.48999855884146504,4905.488210385406,1435.2240466940873,True,1.771131374873221,5,"Pre-QCi polynomial search proxy; best energy from 5 repeats, median_energy=2938273498.690562.",0.0625,20050.329495999995,0.2446587329831184,6,0.0
