dataset,scenario,patch,method_name,repeat_count,best_cost,median_cost,p10_cost,p90_cost,std_cost,best_critical_load_served_fraction,median_runtime_seconds,feasibility_rate
pglib_case30_adapted,demand_surge,BUS2_MG,CMPO-V2 + QCi Dirac-3,60,282.2888465144135,299.4482807987887,295.0973834005627,342.34075394534085,20.842447068880535,1.0,31.0,1.0
pglib_case30_adapted,demand_surge,BUS2_MG-BUS30_MG,CMPO + QCi Dirac-3,20,211.21480506984747,281.7165075643692,219.1472001487736,362.58094836274614,50.957634486847645,1.0,288.0,1.0
pglib_case30_adapted,demand_surge,BUS2_MG-BUS30_MG,CMPO-V2 + QCi Dirac-3,30,359.7531643641907,402.48861992079753,389.24257630335717,421.74900150235914,14.899863664577124,1.0,434.0,1.0
pglib_case30_adapted,demand_surge,BUS2_MG-BUS5_MG,CMPO + QCi Dirac-3,20,193.01179890601335,255.00587779427116,214.7632459036034,343.7893015940954,50.43967964897285,0.8864936691364689,287.0,1.0
pglib_case30_adapted,demand_surge,BUS2_MG-BUS5_MG,CMPO-V2 + QCi Dirac-3,30,338.3740755674694,420.97382590569634,397.53262072651273,442.87804228574083,23.665434306883462,1.0,433.0,1.0
pglib_case30_adapted,demand_surge,BUS30_MG,CMPO + QCi Dirac-3,20,75.01468766534092,75.01468766534092,75.01468766534092,75.01468766534092,1.4210854715202004e-14,0.0,20.0,1.0
pglib_case30_adapted,demand_surge,BUS30_MG,CMPO-V2 + QCi Dirac-3,30,75.0146876653409,75.01468766534092,75.01468766534092,88.71565406534091,6.541607754547331,1.0,31.0,1.0
pglib_case30_adapted,demand_surge,BUS5_MG,CMPO + QCi Dirac-3,20,28.6836626653409,29.0055026653409,29.0055026653409,29.0821682653409,0.407231954512979,0.0139923862916245,21.0,1.0
pglib_case30_adapted,demand_surge,BUS5_MG,CMPO-V2 + QCi Dirac-3,30,29.0055026653409,29.0055026653409,29.0055026653409,102.31761119999996,29.757302624695292,1.0,30.0,1.0
pglib_case30_adapted,demand_surge,BUS5_MG-BUS7_MG,CMPO + QCi Dirac-3,20,94.40320277110962,123.60741468501134,104.9209084718818,170.50679093040682,25.606246190827566,0.8908525178136392,291.0,1.0
pglib_case30_adapted,demand_surge,BUS5_MG-BUS7_MG,CMPO-V2 + QCi Dirac-3,30,208.37061723734087,209.77036706534088,209.49761206454087,209.77036706534088,0.3472309163730382,1.0,433.0,1.0
pglib_case30_adapted,demand_surge,BUS7_MG,CMPO + QCi Dirac-3,20,77.9827526653409,77.9827526653409,77.9827526653409,77.9827526653409,1.4210854715202004e-14,0.0,21.0,1.0
pglib_case30_adapted,demand_surge,BUS7_MG,CMPO-V2 + QCi Dirac-3,30,77.9827526653409,77.9827526653409,77.9827526653409,107.45275586534092,14.302735059835062,1.0,31.0,1.0
pglib_case30_adapted,local_generator_failure,BUS12_MG,CMPO + QCi Dirac-3,20,95.64791666534089,95.6479166653409,95.64791666534089,95.6479166653409,3.097183980245201e-14,0.0,21.0,1.0
pglib_case30_adapted,local_generator_failure,BUS12_MG,CMPO-V2 + QCi Dirac-3,30,94.43663666534088,95.6479166653409,95.64791666534089,107.9761598653409,6.0763498774726346,1.0,31.0,1.0
pglib_case30_adapted,local_generator_failure,BUS1_MG,CMPO + QCi Dirac-3,20,56.219233335161434,56.21923333516146,56.21923333516144,56.21923333516148,1.9394042374125578e-14,0.0,21.0,1.0
pglib_case30_adapted,local_generator_failure,BUS1_MG,CMPO-V2 + QCi Dirac-3,30,56.21923333516144,56.21923333516149,56.21923333516145,64.92774777389349,4.266283358510654,1.0,30.0,1.0
pglib_case30_adapted,local_generator_failure,BUS1_MG-BUS2_MG,CMPO + QCi Dirac-3,20,141.65722104429685,181.2841901254819,159.94978000139594,207.7238186666211,21.85254091677102,1.0,288.0,1.0
pglib_case30_adapted,local_generator_failure,BUS1_MG-BUS2_MG,CMPO-V2 + QCi Dirac-3,30,203.65288119709652,233.00271610723436,215.10573311373815,237.46573156315256,9.50244038740588,1.0,433.0,1.0
pglib_case30_adapted,local_generator_failure,BUS2_MG,CMPO + QCi Dirac-3,40,125.89434409196171,148.73214617384735,145.8236408560152,148.73214617384744,3.8608952687673996,0.0,21.0,1.0
pglib_case30_adapted,local_generator_failure,BUS2_MG,CMPO-V2 + QCi Dirac-3,60,139.9628891791941,173.46516902534088,148.69616328910647,173.46516902534088,12.620207137127695,1.0,30.0,1.0
pglib_case30_adapted,local_generator_failure,BUS2_MG-BUS30_MG,CMPO + QCi Dirac-3,20,158.9437653777046,188.6542127475584,164.97475843308106,220.76540496692144,21.003527886436046,1.0,287.0,1.0
pglib_case30_adapted,local_generator_failure,BUS2_MG-BUS30_MG,CMPO-V2 + QCi Dirac-3,30,230.9969040395165,254.44917997468178,245.42334864778135,260.19056129068184,7.020955662393506,1.0,435.0,1.0
pglib_case30_adapted,local_generator_failure,BUS2_MG-BUS5_MG,CMPO + QCi Dirac-3,20,134.58085060537965,191.95693405941125,149.6211184997011,226.75479443474092,31.89247485210352,0.9091658432713862,291.0,1.0
pglib_case30_adapted,local_generator_failure,BUS2_MG-BUS5_MG,CMPO-V2 + QCi Dirac-3,30,236.6250197859343,268.6675909302413,260.632519691269,272.4386370805409,8.135101071385431,1.0,435.0,1.0
pglib_case30_adapted,local_generator_failure,BUS30_MG,CMPO + QCi Dirac-3,20,75.0575906653409,75.0575906653409,75.0575906653409,75.0575906653409,1.4210854715202004e-14,0.0,21.0,1.0
pglib_case30_adapted,local_generator_failure,BUS30_MG,CMPO-V2 + QCi Dirac-3,30,75.0575906653409,75.0575906653409,75.0575906653409,86.72539226534089,4.895510570857815,1.0,30.0,1.0
pglib_case30_adapted,local_generator_failure,BUS5_MG,CMPO + QCi Dirac-3,20,27.8888156653409,29.3868056653409,29.3868056653409,29.3868056653409,0.3264793514217252,0.0,21.0,1.0
pglib_case30_adapted,local_generator_failure,BUS5_MG,CMPO-V2 + QCi Dirac-3,30,27.864965665340904,29.3868056653409,29.3868056653409,100.5672924,31.50556159355797,1.0,30.0,1.0
