dataset,scenario,method_name,expected_operating_cost,risk_adjusted_cost,critical_load_served_fraction,critical_energy_not_served_kwh,energy_not_served_kwh,max_fraction_customers_unserved_per_hour,total_critical_infrastructure_unserved_hours_proxy,runtime_seconds
pglib_case57_adapted,pcc_failure,IPOPT/Pyomo nonlinear baseline,1398.266240632005,1398.2663001288984,0.9999998413747035,0.00023798757359495,0.00025462623438935,4.29198631825694e-08,3.0,0.15483404201222578
pglib_case57_adapted,pcc_failure,SLSQPDispatchOptimizer,1398.266240632005,1398.2663001288984,0.9999998413747035,0.00023798757359495,0.00025462623438935,4.29198631825694e-08,3.0,0.15556572901550675
pglib_case57_adapted,pcc_failure,CMPO-local polynomial search,1403.0327850795134,1403.0327850795134,1.0,0.0,0.0,0.0,0.0,0.2399070209939964
pglib_case57_adapted,pcc_failure,GPU-parallel random restart baseline,1403.0327850795134,1403.0327850795134,1.0,0.0,0.0,0.0,0.0,0.00205389544134955
pglib_case57_adapted,pcc_failure,GreedyCriticalLoadFirst,1403.0327850795134,1403.0327850795134,1.0,0.0,0.0,0.0,0.0,0.0
pglib_case57_adapted,pcc_failure,QUBO/quadratized local search baseline,1407.2498145981438,1407.2498145981438,1.0,0.0,0.0,0.0,0.0,2.8988171250675805
pglib_case57_adapted,renewable_shortfall,Piecewise-linear MILP baseline,395.88315278584867,395.88315278584867,1.0,0.0,0.0,0.0,0.0,0.02345218695700165
pglib_case57_adapted,renewable_shortfall,DifferentialEvolutionOptimizer,848.0725680773246,957.1267670593055,0.677823864541201,381.02900965063515,989.8463243743216,0.1717560657270716,6.0,0.08914431248558685
pglib_case57_adapted,renewable_shortfall,Stress-only reserve heuristic baseline,1390.4601713404595,1390.4601713404595,1.0,0.0,394.036584,0.06837240463882495,0.0,5.724997026845813e-05
pglib_case57_adapted,renewable_shortfall,CMPO-local polynomial search,1450.7148025142556,1450.7148025142556,1.0,0.0,0.0,0.0,0.0,0.23797747946809972
pglib_case57_adapted,renewable_shortfall,GPU-parallel random restart baseline,1450.7148025142556,1450.7148025142556,1.0,0.0,0.0,0.0,0.0,0.0022447290248237
