score_mode,dataset,method_name,challenge_score,challenge_rank,best_method_by_challenge_score,qci_minus_best_challenge_score,qci_outcome_by_challenge_score,critical_energy_not_served_kwh,total_hours_critical_infrastructure_unserved,max_fraction_customers_unserved_per_hour,total_energy_not_served,critical_load_served_fraction,feasibility_after_repair,risk_adjusted_cost,expected_operating_cost,runtime,weighted_challenge_score,weighted_challenge_rank,lexicographic_challenge_score,lexicographic_challenge_rank,best_cost_by_method,median_cost_by_method,total_upgrade_cost,energy_not_served_kwh,wall_clock_runtime_seconds,median_runtime_seconds,time_to_good_solution,repeat_count,scenario_count,normalized_critical_energy_not_served_kwh,normalized_total_hours_critical_infrastructure_unserved,normalized_max_fraction_customers_unserved_per_hour,normalized_total_energy_not_served,normalized_risk_adjusted_cost,normalized_runtime,infeasibility_penalty
lexicographic,pglib_case5_pjm_adapted,DifferentialEvolutionOptimizer,9.0,10,Piecewise-linear MILP baseline,8.0,qci_loss,359789.69645356305,4800,0.2835158364437983,1225772.960584375,0.7013017098095962,1.0,107962.59551090718,107562.57040203633,0.0356285410234704,,,9.0,10.0,159.3639929665161,659.4805617641167,0.0,1225772.960584375,56.88381633395326,0.06880179146537549,0.0356285410234704,50,4,,,,,,,
lexicographic,qci_small_synthetic,Piecewise-linear MILP baseline,0.0,1,Piecewise-linear MILP baseline,,inconclusive_no_qci,1139.1074444184121,8,0.4204530732871973,17148.518904374083,0.9895045697645307,1.0,16458.092935817454,10869.088110334384,0.0153801250271499,,,0.0,1.0,1084.7994303330013,4958.486526305704,0.0,17148.518904374083,0.30231087200809204,0.01640941703226415,0.0153801250271499,2,8,,,,,,,
lexicographic,qci_small_synthetic,Stress-only reserve heuristic baseline,1.0,2,Piecewise-linear MILP baseline,,inconclusive_no_qci,1469.2703254941432,8,0.5306930425966999,56433.123915988144,0.9864625376000925,1.0,42539.22519225728,36954.39064153937,3.0542025342583656e-05,,,1.0,2.0,9506.064910473258,15550.35793973337,0.0,56433.123915988144,0.00056012615095824,3.354198997840285e-05,3.0542025342583656e-05,2,8,,,,,,,
lexicographic,qci_small_synthetic,GreedyCriticalLoadFirst,2.0,3,Piecewise-linear MILP baseline,,inconclusive_no_qci,2458.485325218988,16,0.4516550206357461,18064.730045833814,0.9773358738370731,1.0,48483.87742340602,42798.95816336386,0.0,,,2.0,3.0,15242.71417926372,22382.49141831939,0.0,18064.730045833814,0.0,0.0,0.0,2,8,,,,,,,
lexicographic,qci_small_synthetic,CMPO-local polynomial search,3.0,4,Piecewise-linear MILP baseline,,inconclusive_no_qci,2458.485325218988,16,0.4516550206357461,18064.730045833814,0.9773358738370731,1.0,48483.87742340602,42798.95816336386,0.2594185000052675,,,3.0,4.0,15242.71417926372,22382.49141831939,0.0,18064.730045833814,4.798718708916567,0.30069899995578453,0.2594185000052675,2,8,,,,,,,
lexicographic,qci_small_synthetic,GPU-parallel random restart baseline,4.0,5,Piecewise-linear MILP baseline,,inconclusive_no_qci,2458.485325218988,16,0.4516550206357461,18064.730045833814,0.9773358738370731,1.0,48483.87742340602,42798.95816336386,2.099134874995798,,,4.0,5.0,15242.71417926372,22382.49141831939,0.0,18064.730045833814,39.190941040054895,2.4482302500400692,2.099134874995798,2,8,,,,,,,
lexicographic,qci_small_synthetic,SLSQPDispatchOptimizer,5.0,6,Piecewise-linear MILP baseline,,inconclusive_no_qci,2458.641283397053,56,0.4531718423290208,18283.093630293326,0.9773341233111831,1.0,41805.83280628863,36216.84238218816,0.0825900830095633,,,5.0,6.0,14769.63025990368,18345.37296981008,0.0,18283.093630293326,1.4979103759396815,0.0961873125052079,0.0825900830095633,2,8,,,,,,,
lexicographic,qci_small_synthetic,IPOPT/Pyomo nonlinear baseline,6.0,7,Piecewise-linear MILP baseline,,inconclusive_no_qci,2458.641283397053,56,0.4531718423290208,18283.093630293326,0.9773341233111831,1.0,41805.83280628863,36216.84238218816,0.0833488339558243,,,6.0,7.0,14769.63025990368,18345.37296981008,0.0,18283.093630293326,1.503739874227903,0.09737852046964685,0.0833488339558243,2,8,,,,,,,
lexicographic,qci_small_synthetic,QUBO/quadratized local search baseline,7.0,8,Piecewise-linear MILP baseline,,inconclusive_no_qci,2857.8730785094767,16,0.509070419250226,20042.795307347653,0.9736560222812778,1.0,48096.16787706131,42410.292525434415,1.0005872909678146,,,7.0,8.0,13909.275695429033,22031.51638069669,0.0,20042.795307347653,18.20641366392374,1.1678959999699146,1.0005872909678146,2,8,,,,,,,
lexicographic,qci_small_synthetic,DifferentialEvolutionOptimizer,8.0,9,Piecewise-linear MILP baseline,,inconclusive_no_qci,26201.04813192932,64,0.5682209591235549,71901.3536180617,0.7178109035061734,1.0,21976.821666706193,18108.040979809855,0.0321998329600319,,,8.0,9.0,5317.642117610237,9568.122710898831,0.0,71901.3536180617,0.5966842918423929,0.03739533352199935,0.0321998329600319,2,8,,,,,,,
lexicographic,qci_small_synthetic,qBraid GPU-parallel random restart baseline,9.0,10,Piecewise-linear MILP baseline,,inconclusive_no_qci,61462.133130474715,400,0.4516550206357461,451618.2511458452,0.977335873837073,1.0,1075658.8733441387,1069973.9540840965,0.0055606178939342,,,9.0,10.0,15242.71417926372,22382.49141831939,0.0,451618.2511458452,4.445983905345182,0.0079626273363828,0.0055606178939342,50,8,,,,,,,
lexicographic,synthetic_smoke,Piecewise-linear MILP baseline,0.0,1,Piecewise-linear MILP baseline,,inconclusive_no_qci,0.0,0,0.0,0.0,1.0,1.0,508.4456074066085,386.7888740652868,0.0095307079609483,,,0.0,1.0,353.5095209652868,420.06822716528677,0.0,0.0,0.0393033759901298,0.0096139379893429,0.0095307079609483,2,2,,,,,,,
lexicographic,synthetic_smoke,IPOPT/Pyomo nonlinear baseline,1.0,2,Piecewise-linear MILP baseline,,inconclusive_no_qci,0.0,0,0.0,0.0,1.0,1.0,8149.351987811503,6419.646250269683,0.0091669170651584,,,1.0,2.0,6253.254016970484,6586.038483568882,0.0,0.0,0.0375372510170561,0.00939639599528155,0.0091669170651584,2,2,,,,,,,
